page_url;pageId_url;pageId;page_size;attachments_count
https://cwiki.apache.org/confluence/display/Hive/Theta+Join;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=33293991;33293991;64905;0
https://cwiki.apache.org/confluence/display/Hive/Top+K+Stats;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=30150275;30150275;61557;0
https://cwiki.apache.org/confluence/display/Hive/Transitivity+on+predicate+pushdown;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27823388;27823388;60776;0
https://cwiki.apache.org/confluence/display/Hive/Type+Qualifiers+in+Hive;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=33298524;33298524;56141;0
https://cwiki.apache.org/confluence/display/Hive/Vectorized+Query+Execution;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=34838326;34838326;60243;0
https://cwiki.apache.org/confluence/display/Hive/ViewDev;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362067;27362067;74734;0
https://cwiki.apache.org/confluence/display/Hive/UpdatableViews;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27824044;27824044;51383;0
https://cwiki.apache.org/confluence/display/Hive/HiveReplicationv2Development;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=66850051;66850051;101790;0
https://cwiki.apache.org/confluence/display/Hive/Subqueries+in+SELECT;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=68717850;68717850;56599;0
https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=75963441;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=75963441;75963441;64625;0
https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=75969407;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=75969407;75969407;56921;0
https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=75977362;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=75977362;75977362;52228;0
https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=80452092;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=80452092;80452092;71236;0
https://cwiki.apache.org/confluence/display/Hive/Different+TIMESTAMP+types;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=103091503;103091503;57718;0
https://cwiki.apache.org/confluence/display/Hive/DeveloperGuide;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362074;27362074;100990;0
https://cwiki.apache.org/confluence/display/Hive/DeveloperGuide+UDTF;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362086;27362086;54843;0
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362087;27362087;51917;0
https://cwiki.apache.org/confluence/display/Hive/ContributorDay2011;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27820725;27820725;50688;0
https://cwiki.apache.org/confluence/display/Hive/ContributorMinutes20110907;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27826430;27826430;52191;0
https://cwiki.apache.org/confluence/display/Hive/ContributorMinutes20111205;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27833038;27833038;52197;0
https://cwiki.apache.org/confluence/display/Hive/ContributorMinutes20120418;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27844528;27844528;52891;0
https://cwiki.apache.org/confluence/display/Hive/ContributorsMinutes110726;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27822784;27822784;51336;0
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings+HiveContributorsMinutes100601;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362084;27362084;51011;0
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings+HiveContributorsMinutes100706;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362085;27362085;51351;0
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings+HiveContributorsMinutes100808;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362082;27362082;51550;0
https://cwiki.apache.org/confluence/display/Hive/Development+ContributorsMeetings+HiveContributorsMinutes100913;https://cwiki.apache.org/confluence/pages/viewinfo.action?pageId=27362083;27362083;53170;0
